name,handle,date,text,replys,retweets,likes
David Corn,@DavidCornDC,2021-07-07 16:07:32+00:00,"David CornTrump reveals his deepest--and perhaps only--belief.
The Recount
@therecount
 · Jul 7
Trump: ""If you say it long enough, hard enough, often enough, people will start to believe it.""
423
1.3K
5.3K",423,1.3K,5.3K
William LeGate,@williamlegate,2021-07-07 16:10:35+00:00,"William LeGateTrump’s lawsuit claims that Facebook is a branch of the United States Federal Government - insists that Facebook is a “state actor” 
651
978
4.7K",651,978,4.7K
The Lincoln Project,@ProjectLincoln,2021-07-07 16:18:34+00:00,"The Lincoln ProjectSocial media companies need not worry about Donald Trump’s lawsuit. He and his legal team have sued us countless of times — and we are still here making his life miserable.
1.1K
7.1K
54.8K",1.1K,7.1K,54.8K
Jason Miller,@JasonMillerinDC,2021-07-07 16:30:45+00:00,"Jason MillerMy statement on President Trump’s press conference defending the 1st Amendment…
622
1K
3.8K",622,1K,3.8K
Kate,@ImSpeaking13,2021-07-07 16:35:12+00:00,"KateRemember when Queen Speaker Nancy Pelosi ripped up Trump’s speech and looked at him like this?
306
437
3.4K",306,437,3.4K
The New York Times,@nytimes,2021-07-07 16:36:50+00:00,"The New York TimesDonald Trump announced plans to sue Facebook, Twitter and Google after the platforms have taken various steps to ban him or block him, and his political operation immediately began fund-raising. “If they can do it to me, they can do it to anyone,” he said.
nytimes.com
Trump sues tech firms for blocking him, and fund-raises off it.
Speaking about “freedom of speech” and the First Amendment — which applies to the government, not to private-sector companies — Mr. Trump called his lawsuit a “very beautiful development.”
1K
603
1.9K",1K,603,1.9K
Ethan Wolf,@ethanmwolf,2021-07-07 16:48:31+00:00,"Ethan WolfDonald Trump's suit of Facebook is probably a fundraising ploy and not an actual lawsuit.

The law is not on his side, and his team knows it. It's just a grift.
312
1.6K
6.6K",312,1.6K,6.6K
Lauren Boebert,@laurenboebert,2021-07-07 16:58:27+00:00,"Lauren BoebertPresident Trump is leading a class action lawsuit against big tech - not just for himself but for ALL of us!

If they can ban the President of the United States they can ban anyone!

Free speech is what makes this country so great.
2.5K
3K
14.9K",2.5K,3K,14.9K
𝕊𝕦𝕟𝕕𝕒𝕖 𝔾𝕦𝕣𝕝,@Sundae_Gurl2,2021-07-07 17:00:47+00:00,"𝕊𝕦𝕟𝕕𝕒𝕖 𝔾𝕦𝕣𝕝Just heard that the lawyers representing Trump have 
@AOL
 email addresses.

Not kidding.
380
490
3.7K",380,490,3.7K
Agolf Twitler Slayer,@bblock29,2021-07-07 17:02:55+00:00,"Agolf Twitler SlayerSo, Former President Donald Trump is going to use what's left of his money to sue Facebook, Twitter, and Google.
Good luck with that!!
Bahahahahaha
492
370
2.7K",492,370,2.7K
Laurence Tribe,@tribelaw,2021-07-07 17:12:06+00:00,"Laurence TribeTrump has the First Amendment argument backwards. Facebook and Twitter themselves have a First Amendment right to decide what speech their platforms amplify — a right that includes excluding speakers who incite violence, as Trump has done.
washingtonpost.com
Trump files class action lawsuits targeting Facebook, Twitter and Google’s YouTube over ‘censorsh...
Legal and tech experts immediately criticized the claims, warning they had little chance of succeeding.
704
3.3K
11.4K",704,3.3K,11.4K
Robert Reich,@RBReich,2021-07-07 17:30:36+00:00,"Robert ReichTrump is suing Facebook, Twitter, and Google for violating his 1st Amendment rights by keeping him off their platforms. Someone should remind him that they're private companies to which the 1st Amendment doesn't apply.
2.1K
5.9K
33.7K",2.1K,5.9K,33.7K
Tomi Lahren,@TomiLahren,2021-07-07 17:40:06+00:00,"Tomi LahrenOnce again Donald Trump is fighting for our rights while the Democrats and big tech work every day to take them away!!
807
1.5K
11.4K",807,1.5K,11.4K
Brigitte Gabriel,@ACTBrigitte,2021-07-07 17:41:11+00:00,"Brigitte GabrielI am so glad President Trump brought up #AshliBabbitt during today's press conference.

Once again reminding the people who fights for them!
840
742
2.6K",840,742,2.6K
CNN,@CNN,2021-07-07 18:32:45+00:00,"CNN""Well, Hitler did a lot of good things""
Trump allegedly praised Adolf Hitler during a discussion with his White House chief of staff John Kelly in 2018 while on a trip to Paris to commemorate the armistice after World War I, according to book excerpts.
cnn.com
Trump allegedly praised Hitler as doing 'a lot of good things,' new book claims
Then-President Donald Trump allegedly praised Adolf Hitler during a discussion with his White House chief of staff John Kelly in 2018 while on a trip to Paris to commemorate the armistice after World...
1.1K
644
1K",1.1K,644,1K
Jeff Tiedrich,@itsJeffTiedrich,2021-07-07 18:35:13+00:00,"Jeff Tiedrichmaybe instead of Mein Kampf, Trump should have read the US Constitution
577
2.8K
21K",577,2.8K,21K
Jack Cocchiarella,@JDCocchiarella,2021-07-07 18:48:49+00:00,"Jack CocchiarellaIs losing frivolous lawsuits the only thing Former President Trump is good at?
535
800
7.4K",535,800,7.4K
Fred Wellman,@FPWellman,2021-07-07 18:49:41+00:00,"Fred WellmanNo. The lawsuit isn't a ""distraction"" from his own legal problems. It's a fundraising effort to pay for them. He knows he is in trouble. He needs income when Trump Org collapses in debt. This grift is separate income to pay for the lifestyle and lawyers. Just my 2 cents.
478
3.3K
19.6K",478,3.3K,19.6K
Elise Stefanik,@EliseStefanik,2021-07-07 19:11:21+00:00,"Elise StefanikBig Tech is IMPLODING because they know that:

- President Trump is surging
- Voters support election audits
- Voters know DEMS support defunding the police
- Republicans are unified and going to win in a landslide in 2022 (despite Big Tech’s efforts)

#OneTeamSaveAmerica
546
1.2K
5.8K",546,1.2K,5.8K
Don Winslow,@donwinslow,2021-07-07 19:40:49+00:00,"Don Winslow""Hitler did a lot of good things""

--Donald Trump on a 2018 trip (Per CNN)

This is not a joke. He actually said that.
599
3.5K
11.8K",599,3.5K,11.8K
jonathan slater,@slater_jona,2021-07-07 19:49:34+00:00,"jonathan slaterI am filing a class action suit on behalf of 81,600,007 persons who have been wrongfully traumatized and harassed, resulting in death and human suffering against Donald John Trump
1K
4.1K
21.6K",1K,4.1K,21.6K
Jon Cooper,@joncoopertweets,2021-07-07 19:52:39+00:00,"Jon CooperDoes anyone feel sorry for the gullible suckers who continue to send money to Trump for his latest grift?
6.7K
3.3K
25.3K",6.7K,3.3K,25.3K
JB Thinkin….,@jdboor,2021-07-07 20:12:58+00:00,"JB Thinkin….I’ll tell you what, if Trump was EVER allowed back on Twitter, I’m over and out! Anyone with me?
648
578
4.3K",648,578,4.3K
The Washington Post,@washingtonpost,2021-07-07 20:20:08+00:00,"The Washington PostTrump says “there was no reason” for officer to shoot rioter who stormed the Capitol on Jan. 6
washingtonpost.com
Trump says ‘there was no reason’ for officer to shoot rioter who stormed the Capitol on Jan. 6
The former president said that Ashli Babbitt did not pose a danger to lawmakers or others and echoed calls from the far right for the officer who shot her to be publicly named.
1.9K
673
1.3K",1.9K,673,1.3K
